district,county,Street Address,city,ZIP,Student Teacher Ratio,schooltype,Graduation Rate,Pass Reading,Pass math,Pass Science,size rank,price,bedroom,Nielson household rank,hotness rank,supply score,demand score,median days on market
BLUE SPRINGS R-IV,Jackson County,1801 NW VESPER,BLUE SPRINGS,64015,15.9,Regular School District,94.06,77.5,69.2,71.9,2015,248000,5,3115,1312,80.79794,93.17483,37
BLUE SPRINGS R-IV,Jackson County,1801 NW VESPER,BLUE SPRINGS,64015,15.9,Regular School District,94.06,77.5,69.2,71.9,2159,129600,2,3115,1312,80.79794,93.17483,37
BLUE SPRINGS R-IV,Jackson County,1801 NW VESPER,BLUE SPRINGS,64015,15.9,Regular School District,94.06,77.5,69.2,71.9,2425,242400,4,3115,1312,80.79794,93.17483,37
BLUE SPRINGS R-IV,Jackson County,1801 NW VESPER,BLUE SPRINGS,64015,15.9,Regular School District,94.06,77.5,69.2,71.9,2481,172800,3,3115,1312,80.79794,93.17483,37
CENTER 58,Jackson County,8701 HOLMES RD,KANSAS CITY,64131,12.3,Regular School District,91.38,51.2,41.3,37.3,2678,214500,5,4582,3281,75.25877,75.28386,40
CENTER 58,Jackson County,8701 HOLMES RD,KANSAS CITY,64131,12.3,Regular School District,91.38,51.2,41.3,37.3,2973,79900,2,4582,3281,75.25877,75.28386,40
CENTER 58,Jackson County,8701 HOLMES RD,KANSAS CITY,64131,12.3,Regular School District,91.38,51.2,41.3,37.3,3318,190700,4,4582,3281,75.25877,75.28386,40
CENTER 58,Jackson County,8701 HOLMES RD,KANSAS CITY,64131,12.3,Regular School District,91.38,51.2,41.3,37.3,3395,167400,3,4582,3281,75.25877,75.28386,40
EXCELSIOR SPRINGS 40,Clay County,300 W BROADWAY,EXCELSIOR SPRINGS,64024,13.4,Regular School District,93.3,55.6,41.9,48.1,1710,81700,1,7031,2664,75.25877,82.00866,40
EXCELSIOR SPRINGS 40,Clay County,300 W BROADWAY,EXCELSIOR SPRINGS,64024,13.4,Regular School District,93.3,55.6,41.9,48.1,4599,82300,2,7031,2664,75.25877,82.00866,40
EXCELSIOR SPRINGS 40,Clay County,300 W BROADWAY,EXCELSIOR SPRINGS,64024,13.4,Regular School District,93.3,55.6,41.9,48.1,5140,159600,4,7031,2664,75.25877,82.00866,40
EXCELSIOR SPRINGS 40,Clay County,300 W BROADWAY,EXCELSIOR SPRINGS,64024,13.4,Regular School District,93.3,55.6,41.9,48.1,5295,128600,3,7031,2664,75.25877,82.00866,40
FORT OSAGE R-I,Jackson County,2101 N TWYMAN RD,INDEPENDENCE,64058,15,Regular School District,95.39,59.7,42.5,53.8,7592,195000,4,12178,2773,75.60379,80.44665,40
FORT OSAGE R-I,Jackson County,2101 N TWYMAN RD,INDEPENDENCE,64058,15,Regular School District,95.39,59.7,42.5,53.8,7981,136100,3,12178,2773,75.60379,80.44665,40
GRAIN VALLEY R-V,Jackson County,PO BOX 304,GRAIN VALLEY,64029,14.4,Regular School District,96,70.4,56.1,70,4405,125600,2,7083,2393,75.60379,84.64965,40
GRAIN VALLEY R-V,Jackson County,PO BOX 304,GRAIN VALLEY,64029,14.4,Regular School District,96,70.4,56.1,70,4928,248900,4,7083,2393,75.60379,84.64965,40
GRAIN VALLEY R-V,Jackson County,PO BOX 304,GRAIN VALLEY,64029,14.4,Regular School District,96,70.4,56.1,70,5076,183400,3,7083,2393,75.60379,84.64965,40
GRANDVIEW C-4,Jackson County,13015 10TH ST,GRANDVIEW,64030,15.6,Regular School District,85,53.2,33.9,36.4,2483,167200,5,4452,1399,88.27552,84.55555,31
GRANDVIEW C-4,Jackson County,13015 10TH ST,GRANDVIEW,64030,15.6,Regular School District,85,53.2,33.9,36.4,2721,71300,2,4452,1399,88.27552,84.55555,31
GRANDVIEW C-4,Jackson County,13015 10TH ST,GRANDVIEW,64030,15.6,Regular School District,85,53.2,33.9,36.4,3048,151700,4,4452,1399,88.27552,84.55555,31
GRANDVIEW C-4,Jackson County,13015 10TH ST,GRANDVIEW,64030,15.6,Regular School District,85,53.2,33.9,36.4,3117,119000,3,4452,1399,88.27552,84.55555,31
HICKMAN MILLS C-1,Jackson County,9000 OLD SANTA FE RD,KANSAS CITY,64138,13.3,Regular School District,82.74,32.8,25.3,22.4,2504,171200,5,4279,2341,85.71608,75.27759,33
HICKMAN MILLS C-1,Jackson County,9000 OLD SANTA FE RD,KANSAS CITY,64138,13.3,Regular School District,82.74,32.8,25.3,22.4,2749,84900,2,4279,2341,85.71608,75.27759,33
HICKMAN MILLS C-1,Jackson County,9000 OLD SANTA FE RD,KANSAS CITY,64138,13.3,Regular School District,82.74,32.8,25.3,22.4,3078,152100,4,4279,2341,85.71608,75.27759,33
HICKMAN MILLS C-1,Jackson County,9000 OLD SANTA FE RD,KANSAS CITY,64138,13.3,Regular School District,82.74,32.8,25.3,22.4,3146,112600,3,4279,2341,85.71608,75.27759,33
INDEPENDENCE 30,Jackson County,201 NORTH FOREST AVENUE,INDEPENDENCE,64050,16.4,Regular School District,95.98,53.4,38.1,55.5,1365,55400,1,4896,6735,46.64701,67.24798,61
INDEPENDENCE 30,Jackson County,201 NORTH FOREST AVENUE,INDEPENDENCE,64050,16.4,Regular School District,95.98,53.4,38.1,55.5,2951,141300,5,4896,6735,46.64701,67.24798,61
INDEPENDENCE 30,Jackson County,201 NORTH FOREST AVENUE,INDEPENDENCE,64050,16.4,Regular School District,95.98,53.4,38.1,55.5,3332,66500,2,4896,6735,46.64701,67.24798,61
INDEPENDENCE 30,Jackson County,201 NORTH FOREST AVENUE,INDEPENDENCE,64050,16.4,Regular School District,95.98,53.4,38.1,55.5,3729,110700,4,4896,6735,46.64701,67.24798,61
INDEPENDENCE 30,Jackson County,201 NORTH FOREST AVENUE,INDEPENDENCE,64050,16.4,Regular School District,95.98,53.4,38.1,55.5,3808,97000,3,4896,6735,46.64701,67.24798,61
KANSAS CITY 33,Jackson County,2901 Troost Avenue,KANSAS CITY,64109,14.4,Regular School District,72.19,35.9,23.5,23.6,4187,216800,5,8967,3890,84.32972,59.2811,34
KEARNEY R-I,Clay County,1002 S JEFFERSON,KEARNEY,64060,14.7,Regular School District,96.57,79.3,65.6,72.2,5010,240700,2,8405,5019,60.17816,71.64544,51
KEARNEY R-I,Clay County,1002 S JEFFERSON,KEARNEY,64060,14.7,Regular School District,96.57,79.3,65.6,72.2,5623,318000,4,8405,5019,60.17816,71.64544,51
KEARNEY R-I,Clay County,1002 S JEFFERSON,KEARNEY,64060,14.7,Regular School District,96.57,79.3,65.6,72.2,5801,199700,3,8405,5019,60.17816,71.64544,51
LEE'S SUMMIT R-VII,Jackson County,301 NE TUDOR RD,LEE'S SUMMIT,64086,15.1,Regular School District,95.09,73,59.4,66.7,3084,324200,5,5339,3055,63.36491,89.76852,48
LEE'S SUMMIT R-VII,Jackson County,301 NE TUDOR RD,LEE'S SUMMIT,64086,15.1,Regular School District,95.09,73,59.4,66.7,3502,193100,2,5339,3055,63.36491,89.76852,48
LEE'S SUMMIT R-VII,Jackson County,301 NE TUDOR RD,LEE'S SUMMIT,64086,15.1,Regular School District,95.09,73,59.4,66.7,3922,332400,4,5339,3055,63.36491,89.76852,48
LEE'S SUMMIT R-VII,Jackson County,301 NE TUDOR RD,LEE'S SUMMIT,64086,15.1,Regular School District,95.09,73,59.4,66.7,4015,191200,3,5339,3055,63.36491,89.76852,48
LIBERTY 53,Clay County,8 VICTORY LANE,LIBERTY,64068,15.8,Regular School District,94.28,75.1,62.2,64.3,1670,293500,5,2128,1062,80.79794,96.81325,37
LIBERTY 53,Clay County,8 VICTORY LANE,LIBERTY,64068,15.8,Regular School District,94.28,75.1,62.2,64.3,1757,140100,2,2128,1062,80.79794,96.81325,37
LIBERTY 53,Clay County,8 VICTORY LANE,LIBERTY,64068,15.8,Regular School District,94.28,75.1,62.2,64.3,1981,264500,4,2128,1062,80.79794,96.81325,37
LIBERTY 53,Clay County,8 VICTORY LANE,LIBERTY,64068,15.8,Regular School District,94.28,75.1,62.2,64.3,2020,173600,3,2128,1062,80.79794,96.81325,37
LONE JACK C-6,Jackson County,313 S BYNUM ROAD,LONE JACK,64070,12.8,Regular School District,97.78,67.3,47.7,51.7,8581,313400,4,15934,6625,31.78596,83.38875,78
LONE JACK C-6,Jackson County,313 S BYNUM ROAD,LONE JACK,64070,12.8,Regular School District,97.78,67.3,47.7,51.7,9283,203900,3,15934,6625,31.78596,83.38875,78
NORTH KANSAS CITY 74,Clay County,2000 NE 46TH ST,KANSAS CITY,64116,15.8,Regular School District,97.5,69.4,60.6,64.1,3600,115400,2,6097,2047,75.25877,89.21021,40
NORTH KANSAS CITY 74,Clay County,2000 NE 46TH ST,KANSAS CITY,64116,15.8,Regular School District,97.5,69.4,60.6,64.1,4037,286100,4,6097,2047,75.25877,89.21021,40
NORTH KANSAS CITY 74,Clay County,2000 NE 46TH ST,KANSAS CITY,64116,15.8,Regular School District,97.5,69.4,60.6,64.1,4132,150900,3,6097,2047,75.25877,89.21021,40
OAK GROVE R-VI,Jackson County,601 SE 12TH STREET,OAK GROVE,64075,14.5,Regular School District,95.6,71.8,50.8,56.4,5427,106800,2,9031,5820,53.84857,69.61922,55
OAK GROVE R-VI,Jackson County,601 SE 12TH STREET,OAK GROVE,64075,14.5,Regular School District,95.6,71.8,50.8,56.4,6091,228200,4,9031,5820,53.84857,69.61922,55
OAK GROVE R-VI,Jackson County,601 SE 12TH STREET,OAK GROVE,64075,14.5,Regular School District,95.6,71.8,50.8,56.4,6307,139000,3,9031,5820,53.84857,69.61922,55
RAYTOWN C-2,Jackson County,6608 RAYTOWN RD,RAYTOWN,64133,14.8,Regular School District,83.09,50.7,27.4,41,1207,164300,5,2272,1299,88.27552,85.91055,31
RAYTOWN C-2,Jackson County,6608 RAYTOWN RD,RAYTOWN,64133,14.8,Regular School District,83.09,50.7,27.4,41,1252,83800,2,2272,1299,88.27552,85.91055,31
RAYTOWN C-2,Jackson County,6608 RAYTOWN RD,RAYTOWN,64133,14.8,Regular School District,83.09,50.7,27.4,41,1402,156200,4,2272,1299,88.27552,85.91055,31
RAYTOWN C-2,Jackson County,6608 RAYTOWN RD,RAYTOWN,64133,14.8,Regular School District,83.09,50.7,27.4,41,1431,122500,3,2272,1299,88.27552,85.91055,31
SMITHVILLE R-II,Clay County,655 S COMMERCIAL,SMITHVILLE,64089,15.9,Regular School District,94.92,68.7,54.6,63.7,5249,174200,2,8785,2286,72.76206,88.81501,42
SMITHVILLE R-II,Clay County,655 S COMMERCIAL,SMITHVILLE,64089,15.9,Regular School District,94.92,68.7,54.6,63.7,5886,288500,4,8785,2286,72.76206,88.81501,42
SMITHVILLE R-II,Clay County,655 S COMMERCIAL,SMITHVILLE,64089,15.9,Regular School District,94.92,68.7,54.6,63.7,6087,211800,3,8785,2286,72.76206,88.81501,42
